customer_id,campaign_id,offer_date,treatment_group,conversion,uplift_revenue_rupiah
23672,GamePack,2025-08-02,0,1,29633
2522,TopupCashback,2025-08-11,1,0,0
26187,TopupCashback,2025-07-19,1,0,0
2632,HolidayOffer,2025-08-07,0,0,0
14371,TopupCashback,2025-07-13,1,0,0
2818,HolidayOffer,2025-09-11,0,0,0
21484,WeekendBonus,2025-07-11,0,0,0
21537,HolidayOffer,2025-07-10,1,0,0
6185,TopupCashback,2025-08-31,1,0,0
10728,ComboBoost,2025-09-16,0,0,0
274,WeekendBonus,2025-09-06,0,0,0
3838,TopupCashback,2025-09-02,1,0,0
2227,TopupCashback,2025-07-30,0,0,0
12906,HolidayOffer,2025-09-10,0,0,0
6308,ComboBoost,2025-08-29,0,0,0
23618,HolidayOffer,2025-08-15,0,0,0
1856,ComboBoost,2025-08-18,1,0,0
11324,SocialPack,2025-07-08,1,0,0
3257,SocialPack,2025-09-03,0,0,0
1246,TopupCashback,2025-09-16,0,0,0
4046,WA_Promo,2025-07-02,1,1,7909
2822,WA_Promo,2025-08-06,1,0,0
16169,ComboBoost,2025-09-15,0,0,0
12666,TopupCashback,2025-07-03,1,0,0
388,TopupCashback,2025-09-22,1,0,0
13743,WeekendBonus,2025-07-04,0,0,0
24588,WeekendBonus,2025-08-26,0,0,0
5244,TopupCashback,2025-09-30,1,0,0
19825,WeekendBonus,2025-09-19,1,0,0
17491,ComboBoost,2025-07-12,1,1,19692
2483,TopupCashback,2025-08-17,0,0,0
3420,SocialPack,2025-07-20,1,0,0
27626,GamePack,2025-07-29,1,0,0
7717,TopupCashback,2025-09-08,1,0,0
23450,ComboBoost,2025-09-04,0,1,10184
20103,TopupCashback,2025-07-16,0,0,0
7911,WA_Promo,2025-07-28,1,0,0
23086,ComboBoost,2025-09-02,1,0,0
26205,HolidayOffer,2025-07-20,0,0,0
14232,TopupCashback,2025-07-30,1,0,0
1122,ComboBoost,2025-09-04,1,0,0
19780,ComboBoost,2025-08-22,1,1,7723
3707,TopupCashback,2025-07-02,1,0,0
22672,HolidayOffer,2025-08-11,1,0,0
5435,ComboBoost,2025-07-30,1,1,34012
5810,WeekendBonus,2025-09-23,1,0,0
4553,HolidayOffer,2025-07-02,1,0,0
7387,SocialPack,2025-08-04,1,0,0
8750,WeekendBonus,2025-08-21,1,0,0
18673,HolidayOffer,2025-07-20,1,0,0
11891,ComboBoost,2025-08-10,0,0,0
12640,ComboBoost,2025-07-14,1,0,0
18510,WeekendBonus,2025-09-08,1,0,0
3738,HolidayOffer,2025-09-21,1,0,0
13276,GamePack,2025-08-30,0,0,0
133,WeekendBonus,2025-07-18,0,1,32610
16121,GamePack,2025-09-15,1,0,0
22970,WeekendBonus,2025-07-19,1,0,0
18719,SocialPack,2025-08-06,1,0,0
4170,ComboBoost,2025-07-04,1,0,0
15464,TopupCashback,2025-08-08,0,0,0
13394,SocialPack,2025-07-09,1,0,0
4672,WA_Promo,2025-07-23,1,1,9791
1774,SocialPack,2025-07-05,1,0,0
28414,WeekendBonus,2025-08-17,1,1,28789
26316,TopupCashback,2025-08-20,0,1,17041
544,TopupCashback,2025-09-09,1,0,0
16347,HolidayOffer,2025-08-05,1,1,6886
21293,WA_Promo,2025-07-14,0,0,0
12674,TopupCashback,2025-08-07,1,0,0
19887,TopupCashback,2025-09-12,0,0,0
8482,HolidayOffer,2025-07-11,1,0,0
24496,GamePack,2025-08-05,1,0,0
1399,ComboBoost,2025-07-25,0,0,0
28341,ComboBoost,2025-08-18,1,0,0
8558,ComboBoost,2025-07-27,0,0,0
9737,HolidayOffer,2025-09-10,1,1,20256
37,TopupCashback,2025-09-20,1,1,25529
6634,SocialPack,2025-09-23,0,0,0
11453,HolidayOffer,2025-07-25,1,0,0
28097,GamePack,2025-08-29,0,1,23921
832,SocialPack,2025-09-01,1,1,3478
22064,ComboBoost,2025-08-28,0,0,0
1664,GamePack,2025-08-15,0,0,0
28992,WeekendBonus,2025-08-09,1,0,0
25244,ComboBoost,2025-07-25,1,1,19135
8534,WA_Promo,2025-07-09,1,0,0
14945,HolidayOffer,2025-07-01,1,0,0
28697,WeekendBonus,2025-08-28,1,0,0
16171,GamePack,2025-08-23,0,0,0
21729,TopupCashback,2025-09-30,0,0,0
637,SocialPack,2025-07-25,0,0,0
23872,GamePack,2025-08-08,1,0,0
28619,GamePack,2025-07-18,0,0,0
29188,WeekendBonus,2025-07-26,1,0,0
24130,WA_Promo,2025-07-09,1,0,0
8885,TopupCashback,2025-07-12,1,0,0
21666,SocialPack,2025-07-09,1,0,0
25962,GamePack,2025-08-13,0,0,0
15310,GamePack,2025-09-05,1,0,0
28054,TopupCashback,2025-09-08,1,0,0
19131,WA_Promo,2025-09-28,1,0,0
