customer_id,complaint_date,complaint_type,resolution_time_hours,resolved
9600,2025-08-29,internet_speed,23,1
27046,2025-07-28,billing,49,1
29594,2025-07-18,coverage,3,0
2045,2025-07-31,internet_speed,22,0
14528,2025-09-11,billing,30,1
1233,2025-08-06,sms_issue,20,1
4841,2025-07-18,coverage,19,1
24017,2025-08-02,app_issue,14,1
22530,2025-08-28,coverage,39,0
842,2025-07-05,coverage,27,1
21877,2025-07-25,voice_call,25,1
18713,2025-08-07,app_issue,10,1
17402,2025-09-21,coverage,26,1
13108,2025-08-01,coverage,38,1
2903,2025-08-13,coverage,34,0
27672,2025-08-04,sms_issue,32,1
11443,2025-07-23,coverage,6,1
8571,2025-09-04,coverage,36,1
18985,2025-08-10,coverage,22,1
4964,2025-07-16,internet_speed,15,1
17772,2025-09-14,coverage,7,1
10556,2025-08-13,internet_speed,43,1
6622,2025-07-26,coverage,18,1
19463,2025-07-20,internet_speed,24,1
5737,2025-08-01,coverage,21,1
13351,2025-09-15,internet_speed,30,0
19179,2025-08-03,coverage,18,1
13592,2025-07-08,coverage,47,1
4370,2025-09-09,internet_speed,16,1
10607,2025-09-14,internet_speed,27,1
9593,2025-07-12,coverage,50,1
19717,2025-08-24,app_issue,32,1
7882,2025-07-15,handover,8,1
10298,2025-07-19,billing,63,1
25287,2025-09-10,handover,25,1
11027,2025-08-06,internet_speed,33,1
9306,2025-07-27,internet_speed,40,0
28228,2025-07-15,coverage,18,1
7221,2025-07-06,internet_speed,40,1
22215,2025-08-18,internet_speed,32,1
11725,2025-07-19,app_issue,6,1
23515,2025-07-25,coverage,12,0
23318,2025-07-07,billing,49,0
27937,2025-07-07,voice_call,11,0
4706,2025-08-26,coverage,16,1
10231,2025-08-01,internet_speed,24,1
16141,2025-07-08,wa_call_issue,39,0
14112,2025-09-24,billing,23,1
22102,2025-09-16,coverage,17,1
28506,2025-08-05,coverage,22,0
23757,2025-08-13,sms_issue,29,1
18034,2025-08-16,internet_speed,25,1
27458,2025-08-11,coverage,37,1
21060,2025-08-09,internet_speed,31,1
22171,2025-09-05,internet_speed,28,0
4405,2025-07-31,internet_speed,19,1
9288,2025-07-14,internet_speed,24,1
18873,2025-08-31,coverage,30,0
28765,2025-07-15,wa_call_issue,7,0
12059,2025-07-20,coverage,30,1
23962,2025-09-11,internet_speed,0,1
14678,2025-08-08,billing,40,0
6711,2025-09-24,billing,31,1
15162,2025-07-19,coverage,54,1
24460,2025-08-14,voice_call,21,1
16298,2025-08-17,voice_call,22,0
13392,2025-07-08,voice_call,35,1
23893,2025-09-10,voice_call,25,1
9276,2025-09-27,sms_issue,53,1
3581,2025-07-25,app_issue,19,1
26479,2025-08-12,voice_call,26,1
11123,2025-07-24,coverage,30,1
9759,2025-07-21,internet_speed,30,1
14897,2025-07-31,coverage,19,1
4229,2025-08-22,coverage,12,1
20596,2025-09-17,sms_issue,23,1
10477,2025-09-15,coverage,31,1
9354,2025-07-02,internet_speed,30,0
28506,2025-09-08,coverage,14,1
24492,2025-09-08,wa_call_issue,15,1
28049,2025-09-07,internet_speed,30,0
29184,2025-09-30,voice_call,2,1
29575,2025-08-18,sms_issue,18,1
20637,2025-07-26,billing,75,1
27377,2025-09-14,coverage,33,0
27522,2025-08-29,coverage,21,0
16207,2025-08-30,handover,17,1
28734,2025-09-21,coverage,10,1
12195,2025-07-05,billing,34,0
24629,2025-09-14,voice_call,13,1
7257,2025-09-26,coverage,34,0
17070,2025-08-19,internet_speed,47,1
19064,2025-08-14,internet_speed,30,0
11364,2025-09-16,voice_call,18,1
24,2025-07-12,app_issue,0,0
27331,2025-09-10,internet_speed,15,0
2353,2025-09-22,billing,30,1
28966,2025-08-18,wa_call_issue,29,0
24370,2025-07-05,wa_call_issue,11,1
24899,2025-09-05,coverage,18,0
2925,2025-08-26,app_issue,28,0
