customer_id,age,gender,city,tenure_months,plan_type,ARPU,device_type,primary_site_id
1,54,F,Yogyakarta,7,Sakti 10GB,29573,iOS Mid,SITE_0727
2,67,M,Jakarta,17,Data Only 2GB,14603,Android Low-End,SITE_1104
3,44,M,Makassar,57,Combo Sakti 50GB,105748,Android Mid,SITE_0661
4,30,F,Surabaya,8,Sakti 10GB,27740,Android Mid,SITE_0944
5,58,F,Medan,26,Data Only 2GB,14590,Android Low-End,SITE_0168
6,23,F,Surabaya,42,Data Only 2GB,13084,Android Mid,SITE_0423
7,36,M,Medan,17,Halo Postpaid,126497,Android Mid,SITE_1152
8,54,M,Depok,1,Combo Sakti 50GB,101287,iOS Mid,SITE_0980
9,34,F,Bekasi,39,Data Only 2GB,11829,Feature Phone,SITE_0560
10,38,M,Bandung,51,OMG 30GB,84602,Android Mid,SITE_1181
11,26,F,Jakarta,1,OMG 30GB,73786,Android Mid,SITE_0547
12,26,M,Yogyakarta,3,OMG 30GB,67626,iOS Flagship,SITE_0327
13,39,M,Jakarta,3,Unlimited Lite,50273,Android Mid,SITE_0647
14,68,M,Yogyakarta,6,OMG 30GB,56430,Android Mid,SITE_0809
15,51,M,Depok,17,Combo Sakti 50GB,115136,Android Low-End,SITE_1161
16,55,M,Jakarta,1,Data Only 2GB,14236,Android Mid,SITE_1105
17,39,F,Bandung,5,Sakti 10GB,28821,Android Flagship,SITE_1093
18,18,M,Semarang,13,OMG 30GB,41483,Android Mid,SITE_0253
19,37,M,Semarang,25,Data Only 2GB,10094,Android Flagship,SITE_0661
20,68,F,Medan,58,Halo Postpaid,109645,Android Mid,SITE_0997
21,17,M,Bekasi,43,Combo Sakti 50GB,102406,Android Flagship,SITE_0925
22,39,M,Bandung,2,Halo Postpaid,125514,Android Low-End,SITE_0418
23,59,F,Bekasi,82,OMG 30GB,51296,Android Low-End,SITE_1080
24,45,F,Makassar,8,Combo Sakti 50GB,116464,iOS Mid,SITE_0538
25,53,M,Medan,11,Sakti 10GB,34899,iOS Mid,SITE_0134
26,17,M,Yogyakarta,2,Unlimited Lite,43447,Android Low-End,SITE_0060
27,36,F,Bandung,66,Combo Sakti 50GB,96894,Android Low-End,SITE_0023
28,48,M,Yogyakarta,19,Sakti 10GB,35080,Android Low-End,SITE_0550
29,27,F,Yogyakarta,18,Halo Postpaid,120509,Android Low-End,SITE_0860
30,37,F,Surabaya,1,Combo Sakti 50GB,75537,Android Mid,SITE_0583
31,59,F,Makassar,1,Unlimited Lite,37696,Android Flagship,SITE_0150
32,40,M,Jakarta,28,OMG 30GB,67692,iOS Mid,SITE_0935
33,64,M,Yogyakarta,16,Sakti 10GB,35276,iOS Mid,SITE_0499
34,42,F,Bekasi,18,Sakti 10GB,39713,iOS Mid,SITE_0229
35,57,M,Semarang,26,OMG 30GB,66318,Android Low-End,SITE_0512
36,43,M,Depok,4,OMG 30GB,73120,Android Mid,SITE_0183
37,31,F,Depok,154,Halo Postpaid,148346,Android Flagship,SITE_0950
38,30,M,Yogyakarta,3,Sakti 10GB,18350,Android Mid,SITE_0608
39,62,M,Makassar,8,Sakti 10GB,30553,Android Low-End,SITE_0335
40,66,F,Semarang,29,OMG 30GB,70210,Android Mid,SITE_0735
41,59,M,Surabaya,18,Combo Sakti 50GB,56463,Android Low-End,SITE_0560
42,67,M,Bandung,3,OMG 30GB,53473,Android Low-End,SITE_0232
43,18,M,Bandung,36,Combo Sakti 50GB,69121,Android Low-End,SITE_0187
44,52,F,Semarang,85,OMG 30GB,56190,iOS Mid,SITE_0485
45,66,M,Surabaya,16,Data Only 2GB,14271,Android Flagship,SITE_1120
46,22,M,Jakarta,8,Halo Postpaid,102381,Android Mid,SITE_1024
47,36,F,Medan,3,Data Only 2GB,9647,iOS Mid,SITE_1110
48,24,F,Yogyakarta,6,Unlimited Lite,46610,Android Mid,SITE_0379
49,54,M,Bandung,9,Data Only 2GB,13633,Android Mid,SITE_0699
50,33,F,Bandung,5,Data Only 2GB,18346,Android Mid,SITE_0446
51,19,M,Yogyakarta,28,OMG 30GB,43122,Android Low-End,SITE_0387
52,40,F,Makassar,1,OMG 30GB,80272,Android Flagship,SITE_1163
53,29,M,Tangerang,13,OMG 30GB,41124,Android Mid,SITE_1124
54,65,M,Yogyakarta,12,OMG 30GB,64277,Feature Phone,SITE_0451
55,24,F,Yogyakarta,51,OMG 30GB,61693,Android Flagship,SITE_0289
56,41,M,Surabaya,8,OMG 30GB,69288,Android Flagship,SITE_0424
57,68,M,Semarang,21,Sakti 10GB,34170,Android Flagship,SITE_0698
58,17,M,Surabaya,1,OMG 30GB,65967,Android Low-End,SITE_0179
59,35,F,Makassar,60,Unlimited Lite,42908,iOS Flagship,SITE_0064
60,43,M,Jakarta,25,Halo Postpaid,106896,Android Mid,SITE_0456
61,62,M,Jakarta,38,Unlimited Lite,44548,Android Mid,SITE_1197
62,22,M,Tangerang,21,Combo Sakti 50GB,84374,Android Low-End,SITE_0442
63,59,M,Yogyakarta,41,Unlimited Lite,42413,Android Flagship,SITE_0461
64,23,M,Semarang,3,Sakti 10GB,34640,Android Flagship,SITE_0910
65,62,M,Tangerang,30,Combo Sakti 50GB,86227,Android Mid,SITE_0251
66,50,M,Bekasi,4,OMG 30GB,79973,Android Mid,SITE_1102
67,29,M,Tangerang,21,OMG 30GB,49061,Android Mid,SITE_0767
68,32,F,Tangerang,102,Unlimited Lite,49751,Android Low-End,SITE_1149
69,51,F,Bekasi,5,Combo Sakti 50GB,92000,Feature Phone,SITE_1134
70,65,F,Bandung,8,Sakti 10GB,38993,Android Mid,SITE_0252
71,55,M,Depok,6,OMG 30GB,58705,Android Mid,SITE_0281
72,19,F,Medan,13,Data Only 2GB,13541,Android Mid,SITE_0514
73,17,M,Bekasi,17,Sakti 10GB,38428,iOS Mid,SITE_0413
74,21,F,Depok,5,Sakti 10GB,33038,Android Low-End,SITE_1084
75,69,M,Tangerang,1,Data Only 2GB,17953,Android Mid,SITE_1122
76,57,M,Bekasi,11,Halo Postpaid,125839,iOS Mid,SITE_0599
77,19,M,Bandung,12,Sakti 10GB,26283,iOS Mid,SITE_0382
78,69,M,Semarang,12,Sakti 10GB,30705,Android Flagship,SITE_0325
79,44,F,Bandung,27,Sakti 10GB,31501,Android Mid,SITE_0923
80,33,F,Tangerang,15,Sakti 10GB,27781,Android Flagship,SITE_0820
81,41,F,Jakarta,3,Unlimited Lite,38657,Android Mid,SITE_0400
82,59,F,Depok,65,Data Only 2GB,11236,Android Low-End,SITE_0105
83,49,M,Tangerang,29,Combo Sakti 50GB,95269,Android Low-End,SITE_0542
84,25,M,Bandung,6,OMG 30GB,59409,Android Flagship,SITE_0039
85,51,F,Depok,66,Combo Sakti 50GB,93317,iOS Mid,SITE_0446
86,29,F,Depok,115,OMG 30GB,59659,Android Mid,SITE_0638
87,46,F,Surabaya,6,Sakti 10GB,26563,iOS Mid,SITE_0556
88,63,M,Semarang,12,Combo Sakti 50GB,85721,Android Flagship,SITE_0470
89,30,F,Yogyakarta,2,Data Only 2GB,14035,Android Mid,SITE_0750
90,23,F,Depok,16,Halo Postpaid,123360,Feature Phone,SITE_0121
91,29,M,Surabaya,38,Data Only 2GB,16116,Android Low-End,SITE_0943
92,38,M,Yogyakarta,57,Sakti 10GB,28335,iOS Mid,SITE_0125
93,55,M,Yogyakarta,19,Unlimited Lite,44051,Android Flagship,SITE_1079
94,36,F,Surabaya,10,Sakti 10GB,19467,Feature Phone,SITE_1022
95,31,M,Makassar,21,Combo Sakti 50GB,82403,iOS Mid,SITE_0272
96,60,M,Surabaya,3,OMG 30GB,52352,Android Mid,SITE_0854
97,33,M,Yogyakarta,44,Combo Sakti 50GB,119469,iOS Mid,SITE_0511
98,62,M,Jakarta,18,Unlimited Lite,53136,Android Low-End,SITE_0994
99,68,M,Bandung,98,Sakti 10GB,33793,Android Low-End,SITE_0333
100,39,M,Jakarta,13,Sakti 10GB,29119,Android Mid,SITE_0458
101,41,F,Makassar,26,OMG 30GB,65582,Android Flagship,SITE_0546
102,40,F,Medan,10,Combo Sakti 50GB,81293,Android Low-End,SITE_0170
103,60,M,Surabaya,4,Sakti 10GB,31541,iOS Mid,SITE_0364
104,56,F,Depok,34,Sakti 10GB,31801,Android Flagship,SITE_0413
105,44,F,Depok,27,Data Only 2GB,12259,Android Low-End,SITE_1137
106,30,M,Bekasi,37,Data Only 2GB,14275,Android Mid,SITE_0452
107,60,M,Depok,95,Halo Postpaid,120465,Android Mid,SITE_0058
108,16,M,Jakarta,121,OMG 30GB,52197,Android Mid,SITE_0452
109,40,M,Bandung,64,Combo Sakti 50GB,91563,Android Low-End,SITE_0957
110,22,M,Jakarta,55,Combo Sakti 50GB,80862,Android Low-End,SITE_0327
111,24,F,Surabaya,9,Halo Postpaid,123577,Feature Phone,SITE_0931
112,39,M,Jakarta,16,OMG 30GB,51149,Android Flagship,SITE_0131
113,16,F,Tangerang,2,Combo Sakti 50GB,87613,Android Flagship,SITE_0803
114,59,M,Depok,28,Unlimited Lite,55595,Android Mid,SITE_0122
115,23,F,Tangerang,19,Sakti 10GB,31510,Android Flagship,SITE_1118
116,39,M,Bekasi,30,Sakti 10GB,38377,iOS Mid,SITE_0454
117,26,F,Yogyakarta,28,Sakti 10GB,25829,Android Low-End,SITE_1094
118,66,F,Surabaya,8,Halo Postpaid,161402,Android Mid,SITE_0467
119,32,F,Jakarta,15,Data Only 2GB,14040,Feature Phone,SITE_0628
120,23,M,Semarang,3,OMG 30GB,68920,Android Flagship,SITE_0506
121,50,F,Depok,3,Sakti 10GB,25872,iOS Flagship,SITE_0016
122,50,F,Surabaya,15,Halo Postpaid,105436,Android Mid,SITE_0554
