customer_id,date,data_usage_gb,voice_minutes,sms_count,app_usage_social_hr,app_usage_gaming_hr
1,7/1/2025,2.26,61,6,2.77,0.54
2,7/1/2025,0.94,41,4,1.29,0.24
3,7/1/2025,3.86,72,5,1.76,0.15
4,7/1/2025,2.25,44,4,8.67,1.7
5,7/1/2025,2.23,54,5,0.74,1.47
6,7/1/2025,3.22,50,3,3.48,1
7,7/1/2025,5.12,72,8,4.41,0.3
8,7/1/2025,5.63,66,3,17.96,1.47
9,7/1/2025,5.71,46,7,0.4,0.03
10,7/1/2025,2.36,60,5,3.56,1
11,7/1/2025,10.94,56,10,4.07,0.04
12,7/1/2025,5.14,62,2,0.14,0.23
13,7/1/2025,2.24,42,7,8.38,0.25
14,7/1/2025,4.4,51,4,0.44,2.97
15,7/1/2025,3.51,62,6,0.14,0.09
16,7/1/2025,2.06,29,2,1.67,4.1
17,7/1/2025,1.28,57,4,0.29,0.26
18,7/1/2025,7.37,71,3,0.36,0.1
19,7/1/2025,2.74,51,8,2.48,0.15
20,7/1/2025,10.96,72,12,11.87,0.02
21,7/1/2025,17.9,67,5,22.49,0.95
22,7/1/2025,3.7,81,7,3.91,0.53
23,7/1/2025,14.89,71,3,0.09,0.52
24,7/1/2025,14.48,70,5,0.49,0.09
25,7/1/2025,4.99,43,3,0.98,1.42
26,7/1/2025,3.14,56,5,9.37,0.52
27,7/1/2025,29.73,63,6,2.44,0.17
28,7/1/2025,3.35,66,3,1.59,0.56
29,7/1/2025,9.55,85,1,14.89,3.64
30,7/1/2025,2.9,63,3,16.86,1.3
31,7/1/2025,4.72,50,10,5.52,1.46
32,7/1/2025,2.71,57,6,0.35,0.28
33,7/1/2025,3.18,52,3,2.49,0.92
34,7/1/2025,6.75,45,6,3.3,0.21
35,7/1/2025,6.19,51,3,1.09,0.27
36,7/1/2025,3.6,74,2,4.7,2.94
37,7/1/2025,4.71,67,1,1.85,0.01
38,7/1/2025,3.31,45,5,0.32,1.54
39,7/1/2025,3.22,58,4,0.71,0.29
40,7/1/2025,4.15,67,4,5.81,0.49
41,7/1/2025,10.06,64,6,6.18,0.01
42,7/1/2025,3.56,58,3,10.99,0.58
43,7/1/2025,8.49,76,5,9,0.18
44,7/1/2025,8.51,76,8,2.76,0.4
45,7/1/2025,5.32,47,2,0.83,1.85
46,7/1/2025,8.61,77,3,37.55,0.15
47,7/1/2025,1.01,54,4,3.37,1.45
48,7/1/2025,1.16,55,4,1.49,0.62
49,7/1/2025,1.4,46,4,0.15,1
50,7/1/2025,0.59,35,6,0.83,2.2
51,7/1/2025,3.58,49,7,0.3,3.12
52,7/1/2025,2.12,52,7,1.11,0.92
53,7/1/2025,10.32,71,2,18.87,0.36
54,7/1/2025,8.08,56,3,0.5,0.57
55,7/1/2025,7.5,47,4,8.9,0.43
56,7/1/2025,6.73,70,9,4.65,0.2
57,7/1/2025,5.35,48,10,1.93,0.97
58,7/1/2025,2.21,67,3,2.58,1.13
59,7/1/2025,4,61,4,0.29,0.45
60,7/1/2025,11.82,79,5,5.14,0.29
61,7/1/2025,2.48,61,7,0.64,0.2
62,7/1/2025,7.09,62,2,7.61,0.98
63,7/1/2025,0.83,58,2,3.12,1.79
64,7/1/2025,4.08,47,3,2.93,0.11
65,7/1/2025,5.02,88,4,4.17,1.5
66,7/1/2025,4.99,50,8,3.19,0.04
67,7/1/2025,8.2,65,8,5.56,0.46
68,7/1/2025,6.95,57,6,10.96,0.32
69,7/1/2025,11.36,46,5,28.57,0.97
70,7/1/2025,2.31,43,7,0.47,0.44
71,7/1/2025,2.83,71,4,10.75,0.43
72,7/1/2025,0.44,36,4,1,2.09
73,7/1/2025,3.04,49,5,0.27,1.73
